PROGRAMA,USER_ID,ID_SIS,ACTIVE,TIME_VIEW,MAX_LAST_ACCESS,MAX_LAST_LOGIN,MAX_LOG_DATE,REGISTROS,EFFECTIVE_LAST_ACCESS,DAYS_SINCE_ACCESS
IQP,df91272cb33f47ba8584da8c,100001,True,706,2021-10-03 10:00:00.000 UTC,2021-10-03 10:00:00.000 UTC,2021-10-03 10:00:00.000 UTC,1,2021-10-03 10:00:00.000 UTC,1811.0
IQP,6204d8e17dc74f7caf5fbc14,100002,True,1171,2025-02-11 10:00:00.000 UTC,2025-02-11 10:00:00.000 UTC,2025-02-11 10:00:00.000 UTC,2,2025-02-11 10:00:00.000 UTC,584.0
IQP,174ad5a14047482bbe391db1,100003,True,416,,,,2,,
IQP,c28ff9ee1d5a4f42b3de5c9a,100004,True,7598,,,2023-11-12 10:00:00.000 UTC,2,2023-11-12 10:00:00.000 UTC,1041.0
IQP,5208670d91cd4f88862ea6fd,100005,True,6168,2024-07-11 10:00:00.000 UTC,2024-07-11 10:00:00.000 UTC,,2,2024-07-11 10:00:00.000 UTC,799.0
IQP,0946f778ae3e4e5ca5087c6a,100006,True,1925,2022-12-29 10:00:00.000 UTC,2022-12-29 10:00:00.000 UTC,2022-12-29 10:00:00.000 UTC,3,2022-12-29 10:00:00.000 UTC,1359.0
IQP,12b1e42d15a546c5a678cac2,100007,True,135,,,,2,,
IQP,75d5a0775fca4db78f8952a0,100008,True,743,2025-06-22 10:00:00.000 UTC,2025-06-22 10:00:00.000 UTC,2025-06-22 10:00:00.000 UTC,4,2025-06-22 10:00:00.000 UTC,453.0
IQP,68105e49ee4d4276907a9f30,100009,True,376,2026-03-31 10:00:00.000 UTC,2026-03-31 10:00:00.000 UTC,2026-03-31 10:00:00.000 UTC,1,2026-03-31 10:00:00.000 UTC,171.0
IQP,4eb5bff29bb24f7689383094,100010,True,1456,2023-07-21 10:00:00.000 UTC,2023-07-21 10:00:00.000 UTC,,1,2023-07-21 10:00:00.000 UTC,1155.0
IQP,10f2c85467c349e6a36ef2b7,100011,True,0,2025-02-05 10:00:00.000 UTC,2025-02-05 10:00:00.000 UTC,,0,2025-02-05 10:00:00.000 UTC,590.0
IQP,f9d7825f2e4049b8982ecd49,100012,True,1686,2023-12-13 10:00:00.000 UTC,2023-12-13 10:00:00.000 UTC,2023-12-13 10:00:00.000 UTC,1,2023-12-13 10:00:00.000 UTC,1010.0
IQP,3c70e3dc11904b62b2b86635,100013,True,3078,2026-01-24 10:00:00.000 UTC,2026-01-24 10:00:00.000 UTC,,3,2026-01-24 10:00:00.000 UTC,237.0
IQP,7be8c9b6b3be4e569a4f7d33,100014,True,136,,,,2,,
IQP,704b1249d9f6474688f5b012,100015,True,1669,2023-07-16 10:00:00.000 UTC,2023-07-16 10:00:00.000 UTC,2023-07-16 10:00:00.000 UTC,2,2023-07-16 10:00:00.000 UTC,1160.0
IQP,29452a8782c14246955c76fd,100016,True,74765,2022-02-14 10:00:00.000 UTC,2022-02-14 10:00:00.000 UTC,,2,2022-02-14 10:00:00.000 UTC,1677.0
IQP,771c6c7f32684dd58b63ecf2,100017,True,4307,2022-01-21 10:00:00.000 UTC,2022-01-21 10:00:00.000 UTC,,2,2022-01-21 10:00:00.000 UTC,1701.0
IQP,e48e8d38f276436f9886da20,100018,True,287,2021-07-12 10:00:00.000 UTC,2021-07-12 10:00:00.000 UTC,2021-07-12 10:00:00.000 UTC,4,2021-07-12 10:00:00.000 UTC,1894.0
IQP,432d6589cf774343875bb1cb,100019,True,0,2024-03-07 10:00:00.000 UTC,2024-03-07 10:00:00.000 UTC,2024-03-07 10:00:00.000 UTC,0,2024-03-07 10:00:00.000 UTC,925.0
IQP,4a689f199fa94a14b088b0e0,100020,True,82,2022-04-16 10:00:00.000 UTC,2022-04-16 10:00:00.000 UTC,2022-04-16 10:00:00.000 UTC,1,2022-04-16 10:00:00.000 UTC,1616.0
IQP,34fddeb9c25a44e1af5c7bd8,100021,True,800,2023-07-28 10:00:00.000 UTC,2023-07-28 10:00:00.000 UTC,2023-07-28 10:00:00.000 UTC,2,2023-07-28 10:00:00.000 UTC,1148.0
IQP,85a4ddafeb6a450d9346f257,100022,True,346,,,2024-07-09 10:00:00.000 UTC,2,2024-07-09 10:00:00.000 UTC,801.0
IQP,2f3f4df964734387a3a553b7,100023,True,2546,2024-10-23 10:00:00.000 UTC,2024-10-23 10:00:00.000 UTC,2024-10-23 10:00:00.000 UTC,1,2024-10-23 10:00:00.000 UTC,695.0
IQP,46a9d0dbe3d9498795dd8369,100024,True,762,,,2026-08-31 10:00:00.000 UTC,1,2026-08-31 10:00:00.000 UTC,18.0
IQP,dabfd3776c0941598b878032,100025,True,6616,2026-05-31 10:00:00.000 UTC,2026-05-31 10:00:00.000 UTC,2026-05-31 10:00:00.000 UTC,2,2026-05-31 10:00:00.000 UTC,110.0
IQP,fc00ed080e694cebad571fd6,100026,True,1227,2024-01-28 10:00:00.000 UTC,2024-01-28 10:00:00.000 UTC,2024-01-28 10:00:00.000 UTC,1,2024-01-28 10:00:00.000 UTC,964.0
IQP,621028d7a6d4404b9514f54d,100027,True,3759,,,2025-02-15 10:00:00.000 UTC,3,2025-02-15 10:00:00.000 UTC,580.0
IQP,ef58b95445954591bc615b96,100028,True,591,,,,2,,
IQP,d6374433b1f34155bc628339,100029,True,13014,,,2019-10-10 10:00:00.000 UTC,1,2019-10-10 10:00:00.000 UTC,2535.0
IQP,92d76ce5ad4d44d3a71ba450,100030,True,1216,,,,2,,
IQP,7003eb23b7924d8489134085,100031,True,5185,2025-10-02 10:00:00.000 UTC,2025-10-02 10:00:00.000 UTC,,3,2025-10-02 10:00:00.000 UTC,351.0
IQP,b226ccab19b7466684b99ca7,100032,True,629,2021-01-29 10:00:00.000 UTC,2021-01-29 10:00:00.000 UTC,,1,2021-01-29 10:00:00.000 UTC,2058.0
IQP,5b7c1fd73bf64d179d683a74,100033,True,37079,,,2026-09-10 10:00:00.000 UTC,2,2026-09-10 10:00:00.000 UTC,8.0
